Short Name,Position,League Name,Club Name,Nationality,Age,Overall,Gross Annual Eur,Predicted Center Eur,Predicted Low Eur,Predicted High Eur,Status
M. Maignan,Goalkeeper,Serie A,AC Milan,France,29,87,6410000.0,8420803.0,5875538.0,12990361.0,fair
C. Tolisso,Midfielder,Ligue 1,Olympique Lyonnais,France,30,81,6360000.0,4275861.0,3294968.0,5477261.0,overpaid
Gonçalo Ramos,Attacker,Ligue 1,Paris Saint-Germain,Portugal,24,80,6360000.0,5050655.0,4441951.0,5573970.0,overpaid
João Gomes,Midfielder,Premier League,Wolverhampton Wanderers,Brazil,24,78,6325253.0,2852351.0,2371568.0,3515591.0,overpaid
D. Kamada,Attacker,Premier League,Crystal Palace,Japan,28,77,6325253.0,4402943.0,3923709.0,4960899.0,overpaid
N. Milenković,Defender,Premier League,Nottingham Forest,Serbia,27,83,6325253.0,6256538.0,5542281.0,7009770.0,fair
Joan García,Goalkeeper,La Liga,FC Barcelona,Spain,24,83,6250000.0,5620692.0,4724616.0,6367811.0,fair
R. Le Normand,Defender,La Liga,Atlético Madrid,Spain,28,83,6250000.0,6280549.0,5477338.0,7263714.0,fair
Pablo Barrios,Midfielder,La Liga,Atlético Madrid,Spain,22,82,6250000.0,5187996.0,4572475.0,5830612.0,overpaid
P. Rajković,Goalkeeper,Saudi Pro League,Al Ittihad,Serbia,29,80,6120000.0,2713533.0,2187657.0,3426134.0,overpaid
H. Aouar,Midfielder,Saudi Pro League,Al Ittihad,Algeria,27,77,6120000.0,3393932.0,3030393.0,3890938.0,overpaid
J. Brownhill,Midfielder,Saudi Pro League,Al Shabab,England,29,76,6120000.0,2129739.0,1836777.0,2507638.0,overpaid
Bento,Goalkeeper,Saudi Pro League,Al Nassr,Brazil,26,80,6120000.0,3823456.0,2919402.0,4828846.0,overpaid
Y. Adli,Midfielder,Saudi Pro League,Al Shabab,France,24,78,6120000.0,2273926.0,1889979.0,2839233.0,overpaid
M. Locatelli,Midfielder,Serie A,Juventus,Italy,27,84,6110000.0,7884182.0,6177908.0,9500454.0,underpaid
L. Delap,Attacker,Premier League,Chelsea,England,22,78,6024051.0,4348283.0,3742069.0,5137950.0,overpaid
David Raya,Goalkeeper,Premier League,Arsenal,Spain,29,87,6024051.0,9562156.0,6604787.0,13385142.0,underpaid
R. Jiménez,Attacker,Premier League,Fulham FC,Mexico,34,77,6024051.0,3389822.0,2976835.0,4098740.0,overpaid
A. Elanga,Attacker,Premier League,Newcastle United,Sweden,23,81,6024051.0,6576302.0,5719922.0,7894210.0,fair
D. Henderson,Goalkeeper,Premier League,Crystal Palace,England,28,81,6024051.0,4666369.0,4272940.0,5174465.0,overpaid
I. Maatsen,Defender,Premier League,Aston Villa,Netherlands,23,79,6024051.0,4614173.0,4171457.0,5252820.0,overpaid
M. Cash,Defender,Premier League,Aston Villa,Poland,27,79,6024051.0,4266536.0,3705127.0,4929064.0,overpaid
M. Kilman,Defender,Premier League,West Ham United,England,28,77,6024051.0,3366640.0,2996615.0,3906502.0,overpaid
D. Calvert-Lewin,Attacker,Premier League,Leeds United,England,28,74,6024051.0,2482416.0,2135775.0,3029221.0,overpaid
C. Chukwuemeka,Midfielder,Bundesliga,Borussia Dortmund,England,21,76,6000000.0,2477665.0,2099584.0,2997703.0,overpaid
G. Scamacca,Attacker,Serie A,Atalanta,Italy,26,79,5930000.0,4733152.0,4117409.0,5277803.0,overpaid
M. Kean,Attacker,Serie A,Fiorentina,Italy,25,83,5770000.0,5966147.0,5014145.0,7113342.0,fair
T. Koopmeiners,Midfielder,Serie A,Juventus,Netherlands,27,81,5770000.0,6001245.0,5002830.0,7007362.0,fair
R. Doan,Midfielder,Bundesliga,Eintracht Frankfurt,Japan,27,82,5660000.0,5462411.0,4516509.0,6453988.0,fair
W. Orban,Defender,Bundesliga,RB Leipzig,Hungary,32,84,5660000.0,5283187.0,4551993.0,6033948.0,fair
M. Ginter,Defender,Bundesliga,SC Freiburg,Germany,31,82,5660000.0,4988954.0,4293192.0,5973759.0,fair
L. Majer,Midfielder,Bundesliga,VfL Wolfsburg,Croatia,27,78,5660000.0,3648235.0,3250150.0,4107232.0,overpaid
E. Tapsoba,Defender,Bundesliga,Bayer 04 Leverkusen,Burkina Faso,26,81,5660000.0,5703317.0,4834858.0,6570261.0,fair
A. Pavlović,Midfielder,Bundesliga,FC Bayern München,Germany,21,79,5660000.0,4120526.0,3330049.0,5115438.0,overpaid
R. Koch,Defender,Bundesliga,Eintracht Frankfurt,Germany,28,82,5660000.0,5164611.0,4614112.0,5758673.0,fair
P. Gulácsi,Goalkeeper,Bundesliga,RB Leipzig,Hungary,35,85,5660000.0,4303936.0,3779756.0,5004958.0,overpaid
A. Romagnoli,Defender,Serie A,Lazio,Italy,30,82,5560000.0,4849681.0,4380934.0,5316473.0,overpaid
M. Zaccagni,Attacker,Serie A,Lazio,Italy,30,84,5560000.0,5778468.0,5016840.0,6534160.0,fair
G. Di Lorenzo,Defender,Serie A,Napoli,Italy,31,83,5560000.0,5260659.0,4453419.0,6103296.0,fair
E. Elmas,Midfielder,Serie A,Napoli,North Macedonia,25,77,5560000.0,3406879.0,2977790.0,3924901.0,overpaid
S. McTominay,Midfielder,Serie A,Napoli,Scotland,28,85,5560000.0,8819827.0,7496550.0,11274050.0,underpaid
D. Berardi,Attacker,Serie A,Sassuolo,Italy,30,82,5560000.0,5466714.0,4380170.0,7045935.0,fair
I. Zabarnyi,Defender,Ligue 1,Paris Saint-Germain,Ukraine,22,79,5450000.0,3982218.0,3432419.0,4745101.0,overpaid
M. Niakhaté,Defender,Ligue 1,Olympique Lyonnais,Senegal,29,77,5450000.0,2801737.0,2398316.0,3230150.0,overpaid
P. Højbjerg,Midfielder,Ligue 1,Olympique de Marseille,Denmark,29,82,5450000.0,5658237.0,4846926.0,6450949.0,fair
M. Greenwood,Attacker,Ligue 1,Olympique de Marseille,England,23,82,5450000.0,6132876.0,5195046.0,7406666.0,fair
Richarlison,Attacker,Premier League,Tottenham Hotspur,Brazil,28,78,5421646.0,4934897.0,4291641.0,5504801.0,fair
J. Timber,Defender,Premier League,Arsenal,Netherlands,24,82,5421646.0,7069124.0,6057699.0,8279394.0,underpaid
M. van de Ven,Defender,Premier League,Tottenham Hotspur,Netherlands,24,82,5421646.0,6052945.0,5289425.0,6840580.0,fair
T. Souček,Midfielder,Premier League,West Ham United,Czechia,30,78,5421646.0,3898274.0,3522081.0,4383062.0,overpaid
A. Wan-Bissaka,Midfielder,Premier League,West Ham United,England,27,80,5421646.0,5113268.0,4433602.0,5945757.0,fair
K. Dewsbury-Hall,Midfielder,Premier League,Everton,England,26,77,5421646.0,2598464.0,2239391.0,3151263.0,overpaid
C. Hudson-Odoi,Midfielder,Premier League,Nottingham Forest,England,24,78,5421646.0,4401682.0,3910899.0,5050702.0,overpaid
C. Lukeba,Defender,Bundesliga,RB Leipzig,France,22,80,5280000.0,4676426.0,3992271.0,5475405.0,fair
Aleix García,Midfielder,Bundesliga,Bayer 04 Leverkusen,Spain,28,83,5280000.0,6784253.0,5945375.0,8036378.0,underpaid
W. Anton,Defender,Bundesliga,Borussia Dortmund,Germany,28,82,5280000.0,5186320.0,4646605.0,5794789.0,fair
F. Kadıoğlu,Defender,Premier League,Brighton & Hove Albion,Türkiye,25,79,5271044.0,4342908.0,3897296.0,4912757.0,overpaid
Brais Méndez,Midfielder,La Liga,Real Sociedad,Spain,28,81,5210000.0,5604204.0,4760061.0,6491397.0,fair
A. Güler,Midfielder,La Liga,Real Madrid,Türkiye,20,81,5210000.0,5959160.0,4667466.0,8060765.0,fair
T. Almada,Midfielder,La Liga,Atlético Madrid,Argentina,24,79,5210000.0,4469496.0,3722842.0,5532564.0,fair
B. Cristante,Midfielder,Serie A,Roma,Italy,30,80,5190000.0,4753849.0,4226765.0,5367835.0,fair
E. Ndicka,Defender,Serie A,Roma,Côte d'Ivoire,25,81,5130000.0,5084901.0,4569860.0,5623391.0,fair
R. Loftus-Cheek,Midfielder,Serie A,AC Milan,England,29,80,5130000.0,5334598.0,4452156.0,6361042.0,fair
C. Pulisic,Attacker,Serie A,AC Milan,USA,26,84,5130000.0,7248108.0,6171244.0,8418470.0,underpaid
Pedro Porro,Defender,Premier League,Tottenham Hotspur,Spain,25,82,5120443.0,6370113.0,5645556.0,7288891.0,underpaid
D. Ndoye,Midfielder,Premier League,Nottingham Forest,Switzerland,24,79,5120443.0,4538581.0,4086028.0,5209140.0,fair
Diogo Dalot,Midfielder,Premier League,Manchester United,Portugal,26,79,5120443.0,4371517.0,3882726.0,4931577.0,overpaid
